id,title,date,time,description,type,emotion,user_id
1,"Flying Dream",2024-02-16,08:00,"I was flying over a beautiful landscape",Lucid,Excitement,1
2,"Forest Nightmare",2024-02-15,03:00,"I was being chased by a monster through a dark forest",Nightmare,Fear,2
3,"Beach Dream",2024-02-17,10:30,"I found myself relaxing on a sunny beach with crystal-clear water",Lucid,Relaxation,1
4,"Lost in the City",2024-02-14,23:45,"I was wandering through a bustling city with towering skyscrapers",Normal,Amusement,3
5,"Underwater Adventure",2024-02-13,15:20,"I explored an underwater world filled with colorful coral reefs and exotic fish",Lucid,Wonder,1
6,"Haunted House",2024-02-12,02:15,"I ventured into a creepy haunted house with creaking floorboards and flickering lights",Nightmare,Fear,2
7,"Space Odyssey",2024-02-11,18:45,"I traveled through space, witnessing breathtaking cosmic phenomena",Lucid,Amazement,1
8,"Jungle Trek",2024-02-10,11:00,"I embarked on an adventure through a dense jungle, encountering wild animals and hidden ruins",Normal,Excitement,4
9,"Fairy Tale Kingdom",2024-02-09,19:30,"I found myself in a magical kingdom filled with fairies, unicorns, and castles",Lucid,Happiness,2
10,"Desert Mirage",2024-02-08,14:10,"I wandered through a vast desert landscape, experiencing mirages and mysterious oases",Normal,Disorientation,3
11,"Alien Encounter",2024-02-07,03:30,"I had a close encounter with extraterrestrial beings in a UFO",Lucid,Interested,1
12,"Time Travel Adventure",2024-02-06,09:15,"I traveled through time, witnessing historical events and meeting famous figures",Normal,Intrigue,2
13,"Fairytale Wedding",2024-02-05,17:45,"I attended a fairytale wedding in a magical castle, surrounded by enchanting creatures",Lucid,Joy,3
14,"Underground Cavern",2024-02-04,22:00,"I explored vast underground caverns filled with shimmering crystals and mysterious creatures",Normal,Amazement,4
15,"Haunted Carnival",2024-02-03,20:20,"I wandered through a spooky carnival with eerie rides and ghostly attractions",Nightmare,Fear,1
16,"Fantasy Quest",2024-02-02,11:30,"I embarked on a quest through a fantasy realm, battling dragons and seeking treasure",Lucid,Adventure,2
17,"Magical Forest",2024-02-01,14:50,"I found myself in a lush, enchanted forest with talking animals and magical plants",Normal,Wonder,3
18,"Apocalyptic Vision",2024-01-31,05:00,"I witnessed the end of the world in a chaotic apocalyptic scenario",Nightmare,Dread,4
19,"Underworld Journey",2024-01-30,18:10,"I journeyed into the underworld, facing trials and challenges in the realm of the dead",Lucid,Surprise,1
20,"Heavenly Paradise",2024-01-29,12:25,"I ascended to a heavenly paradise, experiencing peace and tranquility",Lucid,Bliss,2